customer_id,model,saleprice,VIN,day,month,year
4463,Model C,70376.83,DUYCOKCEY4UY,2,10,2020
8420,Model C,71729.8,7RGEB1UTKDH8,2,10,2020
5903,Model D,81826.78,C2WTNN6A24AR,2,10,2020
8747,Model R,106101.9,4OO6Z7MWXVUZ,2,10,2020
2251,Model C,66241.06,B2PY5U2DAYEG,2,10,2020
1348,Model D,95256.84,RJSEXFLXAYQQ,2,10,2020
4765,Model D,78996.22,ZMJAIZX4EV14,2,10,2020
6425,Model C,76646.61,U2TGRHQSGMZG,2,10,2020
3503,Model C,81755.95,ENI2PQRWOGXM,2,10,2020
9025,Model D,90525.95,QF4ONN7HE2GV,2,10,2020
6743,Model C,79561.22,Z4U5NC35RFGY,2,10,2020
6827,Model R,95158.06,710JYE8EA8E2,2,10,2020
2716,Model D,83658.22,PTXI2B1B5Z1L,2,10,2020
7339,Model C,68647.8,Y5MGXRJBVSWL,2,10,2020
584,Model R,117584.49,WIHDMY53VZ7Y,2,10,2020
9047,Model R,94325.95,2LJ24A054DA7,2,10,2020
6860,Model R,102233.36,404UR34PTWG5,2,10,2020
7058,Model D,94638.43,EUMW8WD7XWAB,2,10,2020
2638,Model C,72228.54,8OWNR48NOC0Q,2,10,2020
6217,Model R,111430.3,M6D5BMF13ICJ,2,10,2020
4241,Model R,96033.82,PMWXHSEFCKNV,2,10,2020
4084,Model D,93716.32,9Y7PPL0MBPWT,2,10,2020
1130,Model C,81783.49,ZI8Y11TKNPBW,2,10,2020
9121,Model D,93239.98,W4YVQJWAE168,3,10,2020
1756,Model C,82342.48,203UQACCRFP8,3,10,2020
7694,Model C,70343.94,UVXW7YTCUJLU,3,10,2020
3368,Model C,66737.9,38E064FPJZ12,3,10,2020
6226,Model C,75270.37,75YUXB1RMPNZ,3,10,2020
4583,Model D,91888.37,SU0E8ANXHGWW,3,10,2020
8821,Model D,79501.01,7MAZINYSJAVQ,3,10,2020
4307,Model R,97959.71,TL99534JRRM7,3,10,2020
3277,Model C,73060.05,JHCKIM9W8N4A,3,10,2020
4208,Model C,65642.44,9H93MJUNEU0R,3,10,2020
2288,Model C,82206.17,BAAZR4TSWE4A,3,10,2020
1810,Model D,96149.2,6GSJD0GQLDEA,3,10,2020
1385,Model D,92931.74,XV485OS0GA8F,3,10,2020
7034,Model D,93381.83,YQJUEF8RMD2L,3,10,2020
6566,Model R,98950.39,99XMZUIR97V4,3,10,2020
5989,Model D,86226.51,TJNWRG4E241T,3,10,2020
143,Model R,100327.27,6QIAW5QD8DF7,3,10,2020
4846,Model D,76917.82,YA5O1SHBIESM,4,10,2020
6511,Model C,71003.66,FOU62QJ77443,4,10,2020
2816,Model R,104872.78,UHBCW4WETPHS,4,10,2020
7135,Model D,94733.82,S3ETDUPF9W3J,4,10,2020
4574,Model R,101247.88,B1GOTO2MFMLT,4,10,2020
6565,Model R,97994.04,CYL397DF05CA,4,10,2020
9295,Model D,77891.42,JXQHORZ0PWQZ,4,10,2020
802,Model D,90970.45,4MB1RHXXNPVX,4,10,2020
5437,Model C,75594.17,A33UA8PY6889,4,10,2020
5830,Model R,105003.42,2NZT4Z7ZF9QS,4,10,2020
3686,Model R,118050.51,4004OKB1IFHC,4,10,2020
7808,Model R,111818.11,BPW5Z4IAH24N,4,10,2020
2722,Model R,108203.84,CLAVY9ZSURSN,4,10,2020
5212,Model C,67465.12,9EHY1RNRDPEO,4,10,2020
9032,Model C,83892.95,TJ1WOQYSIKRQ,4,10,2020
3428,Model C,76613.12,CJ8KBGF86JWO,4,10,2020
506,Model C,67194.04,YN8TGAQRHCJI,5,10,2020
9230,Model C,69983.74,YKGRRU1I8JZI,5,10,2020
4255,Model R,109801.32,P8YO94VDU2AO,5,10,2020
3283,Model D,95173.53,BK0WAV9EEZ65,5,10,2020
4921,Model C,83222.03,N18PNAOD7MTX,5,10,2020
8447,Model D,93128.85,7SL320H7W3K8,5,10,2020
9685,Model R,101019.86,SDARJR52G0CV,5,10,2020
2674,Model C,82637.47,MJ7SC1YC2G1H,5,10,2020
3613,Model D,74928.74,3PCDH7DEWEJM,5,10,2020
1153,Model C,78389.04,4YELS222M5R1,5,10,2020
8480,Model R,117150.13,BC37N6IG7VDE,5,10,2020
9221,Model D,80835.45,YF1D1EQA984J,5,10,2020
7633,Model C,69986.71,ZRENEDHP6UFB,5,10,2020
5858,Model C,84472.82,RDXKRRY449IL,5,10,2020
493,Model D,81164.4,Y8YKVIRXLVBC,5,10,2020
2480,Model D,89786.16,SVPMILQLVNMV,5,10,2020
4181,Model D,91075.14,2VRWGI1C43S9,5,10,2020
